date,storeName,managerName,storeId,preparedBy,dippingTanks.PMS.0.opening,dippingTanks.PMS.0.closing,dippingTanks.PMS.0.sales,dippingTanks.PMS.1.opening,dippingTanks.PMS.1.closing,dippingTanks.PMS.1.sales,pumps.PMS.0.nozzles.0.opening,pumps.PMS.0.nozzles.0.closing,pumps.PMS.0.nozzles.0.sales,pumps.PMS.1.nozzles.0.opening,pumps.PMS.1.nozzles.0.closing,pumps.PMS.1.nozzles.0.sales,totalSalesBreakdown.PMS.pos,totalSalesBreakdown.PMS.cash,totalSalesBreakdown.PMS.expenses,rate.PMS,totalSalesLiters.PMS,totalSalesDollars.PMS,actualTotal.PMS,dippingTanks.DPK.0.opening,dippingTanks.DPK.0.closing,dippingTanks.DPK.0.sales,dippingTanks.DPK.1.opening,dippingTanks.DPK.1.closing,dippingTanks.DPK.1.sales,pumps.DPK.0.nozzles.0.opening,pumps.DPK.0.nozzles.0.closing,pumps.DPK.0.nozzles.0.sales,pumps.DPK.1.nozzles.0.opening,pumps.DPK.1.nozzles.0.closing,pumps.DPK.1.nozzles.0.sales,totalSalesBreakdown.DPK.pos,totalSalesBreakdown.DPK.cash,totalSalesBreakdown.DPK.expenses,rate.DPK,totalSalesLiters.DPK,totalSalesDollars.DPK,actualTotal.DPK,dippingTanks.AGO.0.opening,dippingTanks.AGO.0.closing,dippingTanks.AGO.0.sales,dippingTanks.AGO.1.opening,dippingTanks.AGO.1.closing,dippingTanks.AGO.1.sales,pumps.AGO.0.nozzles.0.opening,pumps.AGO.0.nozzles.0.closing,pumps.AGO.0.nozzles.0.sales,pumps.AGO.1.nozzles.0.opening,pumps.AGO.1.nozzles.0.closing,pumps.AGO.1.nozzles.0.sales,totalSalesBreakdown.AGO.pos,totalSalesBreakdown.AGO.cash,totalSalesBreakdown.AGO.expenses,rate.AGO,totalSalesLiters.AGO,totalSalesDollars.AGO,actualTotal.AGO,storeTotalSales.totalSalesLiters,storeTotalSales.totalSalesDollars
2024-01-15,Store 20,test modal,671315cf869490940503ce72,66f30a3c9f0494851c9abb1d,500,400,100,520,410,110,45,65,20,60,80,20,78000,100,50,95,85,4600,980,690,540,150,720,510,215,42,57,15,32,50,15,980,195,15,10,155,8500,1300,875,785,95,905,825,55,60,15,18,28,15,8700,235,455,15,95,5100,1200,335,16000
2024-02-11,Store 20,test modal,671315cf869490940503ce72,66f30a3c9f0494851c9abb1d,510,405,105,530,415,115,50,70,25,65,85,25,79000,105,55,98,90,4650,1005,695,545,155,725,515,220,47,60,18,35,53,18,995,200,18,11,158,8600,1330,880,790,100,910,830,60,65,20,21,31,18,8800,240,460,16,98,5300,1250,345,16200
2024-03-18,Store 20,test modal,671315cf869490940503ce72,66f30a3c9f0494851c9abb1d,520,410,110,540,420,120,55,75,30,70,90,30,80000,110,60,101,95,4700,1030,700,550,160,730,520,225,52,63,20,37,56,21,1010,205,21,12,160,8700,1360,885,795,105,915,835,65,70,25,24,34,21,8900,245,465,17,100,5500,1300,355,16400
2024-04-10,Store 20,test modal,671315cf869490940503ce72,66f30a3c9f0494851c9abb1d,530,415,115,550,425,125,60,80,35,75,95,35,81000,115,65,104,100,4750,1055,705,555,165,735,525,230,57,65,22,40,59,23,1025,210,23,13,163,8800,1390,890,800,110,920,840,70,75,30,27,37,24,9000,250,470,18,103,5700,1350,365,16600
2024-05-20,Store 20,test modal,671315cf869490940503ce72,66f30a3c9f0494851c9abb1d,540,420,120,560,430,130,65,85,40,80,100,40,82000,120,70,107,105,4800,1080,710,560,170,740,530,235,62,68,25,43,62,26,1040,215,26,14,165,8900,1420,895,805,115,925,845,75,80,35,30,40,27,9100,255,475,19,105,5900,1400,375,16800
2024-06-15,Store 29,Test brand New User,67174e04f408bc08006731ff,67188edb6f91ecbb631490fd,550,430,130,570,440,140,70,90,45,85,105,45,83000,130,75,110,110,4850,1105,715,565,175,745,535,240,67,70,28,45,65,29,1055,220,28,15,168,9000,1450,900,810,120,930,850,80,85,40,33,43,30,9200,260,480,20,107,6100,1450,385,17000
2024-07-22,Store 29,Test brand New User,67174e04f408bc08006731ff,67188edb6f91ecbb631490fd,560,435,135,580,445,145,75,95,50,90,110,50,84000,135,80,113,115,4900,1130,720,570,180,750,540,245,72,73,30,48,68,32,1070,225,30,16,170,9100,1480,905,815,125,935,855,85,90,45,36,46,33,9300,265,485,21,110,6300,1500,395,17200
2024-08-19,Store 29,Test brand New User,67174e04f408bc08006731ff,67188edb6f91ecbb631490fd,570,440,140,590,450,150,80,100,55,95,115,55,85000,140,85,116,120,4950,1155,725,575,185,755,545,250,77,75,32,50,70,34,1085,230,32,17,173,9200,1510,910,820,130,940,860,90,95,50,39,49,36,9400,270,490,22,113,6500,1550,405,17400
2024-09-14,Store 29,Test brand New User,67174e04f408bc08006731ff,67188edb6f91ecbb631490fd,580,445,145,600,455,155,85,105,60,100,120,60,86000,145,90,119,125,5000,1180,730,580,190,760,550,255,82,78,34,52,73,36,1100,235,34,18,175,9300,1540,915,825,135,945,865,95,100,55,42,52,39,9500,275,495,23,115,6700,1600,415,17600
2024-10-18,Store 29,Test brand New User,67174e04f408bc08006731ff,67188edb6f91ecbb631490fd,590,450,150,610,460,160,90,110,65,105,125,65,87000,150,95,122,130,5050,1205,735,585,195,765,555,260,87,80,36,55,76,38,1115,240,36,19,178,9400,1570,920,830,140,950,870,100,105,60,45,55,42,9600,280,500,24,118,6900,1650,425,17800
